job titel,job location,Date,company name,job skills,links
Senior Python Developer,"Bolkly, Alexandria, Egypt ",1 day ago,Softxpert Incorporation  -,Full TimeHybridExperienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · APIs · Angular · Software Development · Software Engineering · Web Development · MySQL · Python,https://wuzzuf.net/jobs/p/kx4QTsoTSbKX-Senior-Python-Developer-Softxpert-Incorporation-Alexandria-Egypt
Python Team Lead - AI & Python Engineering,"Cairo, Egypt ",2 days ago,Softec Technologies -,Full TimeHybridExperienced · 6+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · AWS · Communication skills · Computer Science · Development · Docker · Engineering,https://wuzzuf.net/jobs/p/y9FsWhj1fMll-Python-Team-Lead---AI-Python-Engineering-Softec-Technologies-Cairo-Egypt
Python Automation Engineer,"Cairo, Egypt ",6 days ago,Luxoft (A DXC Technology Company) -,Full TimeRemoteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Information Technology (IT) · JIRA · Python · Selenium · Software Development · Testing,https://wuzzuf.net/jobs/p/ayajJH3Afl3R-Python-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt
Senior Python Automation Engineer,"Cairo, Egypt ",5 hours ago,Luxoft (A DXC Technology Company) -,Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ALM · API · API Testing · Information Technology (IT) · Git · Computer Science · Development · JIRA,https://wuzzuf.net/jobs/p/kJNETgKZ7v9r-Senior-Python-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt
Python Backend Developer – AI & Chatbots,"New Cairo, Cairo, Egypt ",1 day ago,OTIC -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Python Backend Developer · Database · Computer Science · Azure · APIs · Software Development · Oracle · Python · Django,https://wuzzuf.net/jobs/p/bwni7B3ow3qc-Python-Backend-Developer-–-AI-Chatbots-OTIC-Cairo-Egypt
Data Analysis Manager,"Maadi, Cairo, Egypt ",1 day ago,WUZZUF -,Full TimeHybridManager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,https://wuzzuf.net/jobs/p/Sa7NwmU90d5d-Data-Analysis-Manager-WUZZUF-Cairo-Egypt
Senior Software Engineer,"Cambridge, United Kingdom ",1 day ago,Code SA Ltd -,Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Python · APIs · Docker · React.js · Flask · FastAPI · Django · Software Development,https://wuzzuf.net/jobs/p/NAJiISu5fQvB-Senior-Software-Engineer-Code-SA-Ltd-Cambridge-United-Kingdom
Engineer,"Bourj Alarab, Alexandria, Egypt ",3 days ago,أكاديمية ابداع للتدريب والاستشارات (Ibdaa Academy) -,Full TimePart TimeOn-siteEntry Level · IT/Software Development · Engineering - Mechanical/Electrical · Training/Instructor · Computer Science · Engineering · Information Technology (IT) · Arduino · Python · Teaching · Development,https://wuzzuf.net/jobs/p/TUbDBSUy0C7A-Engineer-أكاديمية-ابداع-للتدريب-والاستشارات-Ibdaa-Academy-Alexandria-Egypt
Value-Based Healthcare Analytics Specialist,"Maadi, Cairo, Egypt ",14 days ago,MEAHCO - Saudi German Health -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · SQL · python development · SAS · Tableau · Power BI · QlikView · Microsoft Excel · Microsoft Azure · AWS,https://wuzzuf.net/jobs/p/C3GaYz9CfuMa-Value-Based-Healthcare-Analytics-Specialist-MEAHCO---Saudi-German-Health-Cairo-Egypt
Odoo Developer (80% Remote),"Nasr City, Cairo, Egypt ",15 days ago,softprimes -,Full TimeHybridEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · HTML5 · Software Development · Full Stack · Odoo · python,https://wuzzuf.net/jobs/p/dxf50hB7LE2h-Odoo-Developer-80-Remote-softprimes-Cairo-Egypt
Odoo Developer,"Hurghada, Red Sea, Egypt ",1 month ago,Alfa Software -,Full TimeOn-siteExperienced · 5 - 9 Yrs of Exp · Business Development · Odoo · Python · Odoo Development · Odoo ERP · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/RzE3gx5UU5ZR-Odoo-Developer-Alfa-Software-Red-Sea-Egypt
Senior Devops Engineer,"Giza, Egypt ",1 month ago,Algoriza -,Full TimeRemoteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure · AWS · Cloud · Computer Science · DevOps · Docker · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/07vWd7p88iEI-Senior-Devops-Engineer-Algoriza-Giza-Egypt
Senior AI Engineer,"Sheikh Zayed, Giza, Egypt ",2 months ago,Lumin -,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,https://wuzzuf.net/jobs/p/jQuD5uCDAOds-Senior-AI-Engineer-Lumin-Giza-Egypt
Senior Full Stack Engineer,"Munich, Germany ",10 days ago,Smicolon GmbH -,Full TimeRemoteExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Git · Computer Science · APIs · Information Technology (IT) · Java · JavaScript,https://wuzzuf.net/jobs/p/zFFJkX2grUgW-Senior-Full-Stack-Engineer-Smicolon-GmbH-Munich-Germany
Renewable Energy Engineer,"Cairo, Egypt ",13 days ago,Storlytics  -,Full TimeRemoteEntry Level · 0 - 10 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering - Other · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python,https://wuzzuf.net/jobs/p/4YaAOLdnDBef-Renewable-Energy-Engineer-Storlytics-Cairo-Egypt
